"individual_id","population_id","ecotype","elevation","DTF","Darker axillae","Days to budding","Disk diameter","Disk to phyllaries diameter ratio","Distance of first branching from ground","Flower FHDD ratio","Flower head diameter","Flowerhead to phyllaries diameter ratio","Internode length","LIR","Leaf C N ratio","Leaf area","Leaf circular","Leaf curved height","Leaf curved shape index","Leaf curvedHeight maxWidth","Leaf distal eccentricity","Leaf eccentricity","Leaf eccentricity area index","Leaf ellipsoid","Leaf height mid-width","Leaf maximum height","Leaf maximum width","Leaf obovoid","Leaf perimeter","Leaf proximal eccentricity","Leaf rectangular","Leaf shape index external I","Leaf shape index external II","Leaf shape index internal","Leaf total C","Leaf total N","Leaf width mid-height","Leaf width widest pos","Ligule LW ratio","Ligule length","Ligule width","Ligules number","Petiole main veins colour","Phyllaries LW ratio","Phyllaries diameter","Phyllaries length","Phyllaries width","Plant height at flowering","Primary branches","RGB proportion blue","RGB proportion green","RGB proportion red","SLA","Seed HW ratio","Seed area","Seed circular","Seed curved height","Seed curved shape index","Seed distal eccentricity","Seed eccentricity","Seed eccentricity area index","Seed ellipsoid","Seed height mid width","Seed maximum height","Seed maximum width","Seed ovoid","Seed perimeter","Seed proximal eccentricity","Seed rectangular","Seed shape index external I","Seed shape index external II","Seed shape index internal","Seed width mid height","Seed width widest pos","Stem colour","Stem diameter at flowering","Stem diameter final after 5th node","Stem diameter final before 1st node","TLN","Total RGB","Trichomes density center average","Trichomes density edge average","Trichomes density leaf center flat area","Trichomes density leaf center secondary veins","Trichomes density leaf edge flat area","Trichomes density leaf edge secondary veins","Trichomes density nonvein average","Trichomes density vein average","Trichomes length"
"ANN0842","ANN_05","north american desert",-14,51,"0",31,5.29609968,0.531086019,0,2.929479624,15.51351743,1.554295545,6.757142857,0.677419355,6.540537228,12361.9753,0.162,185.5734,1.6715,1.634460709,0.8893,0.7367,0.3672,0.1029,158.496,171.958,113.538,0.4246,561.0837,0.8893,0.3763,1.5145,1.6041,1.6065,43.266,6.615,98.806,0.6544,2.116117935,5.379743732,2.562461103,19.66666667,1,2.613938466,9.996696118,4.08446957,1.568473345,141.9,21,0.195148624,0.481768873,0.323082503,23.18884881,1.614842121,10.2755,0.1481375,4.7255125,1.6977,0.8713375,0.7772,0.3970875,0.0559625,4.51115,4.5654,2.9263,0.308,12.9662375,0.8898875,0.4866625,1.5681625,1.6313375,1.59965,2.7847375,0.3384125,0,34.4,39,55,21,181.969,38.5,42.5,38,39,37,48,37.5,43.5,3.286285714
"ANN0843","ANN_05","north american desert",-14,53,"0",27,3.777203214,0.564411725,8,3.900916565,14.72073484,2.163810746,5.990909091,0.814814815,6.766674084,7805.4683,0.1666,147.0977,1.3531,1.678622618,0.8756,0.7392,0.422,0.0922,125.73,135.636,87.63,0.4679,420.1717,0.8756,0.4055,1.5478,1.743,1.7434,42.931,6.345,72.136,0.7097,3.024075284,5.695637694,1.908683668,22.33333333,0,2.002602718,6.850751457,2.339879293,1.171205946,131.8,19,0.20722308,0.472970903,0.319806017,26.03558472,1.881586078,8.66175,0.1890875,4.687125,1.91655,0.8499875,0.7584125,0.404175,0.054075,4.529675,4.5455625,2.49105,0.2746625,12.3643875,0.88205,0.4871125,1.8295625,1.8983,1.8074875,2.3944875,0.3658,0,32.3,43,52,22,169.706,65.5,60.5,76,55,96,25,86,40,2.912179592
"ANN0845","ANN_05","north american desert",-14,46,"1",22,3.882236732,0.518537806,2.5,3.731375368,14.43211769,1.92757661,7.527777778,0.818181818,6.993939897,9678.6903,0.1899,169.2535,2.0054,1.776939633,0.8629,0.7588,0.3872,0.0902,153.924,158.242,95.25,0.4645,474.6242,0.8922,0.3879,1.6613,1.9739,1.9032,43.686,6.246,77.978,0.7105,2.570593054,5.417406425,2.107513024,17.33333333,3,2.773979163,7.487229072,2.782264601,1.004491417,135.5,16,0.214840134,0.470488993,0.314670874,21.70596614,1.946069114,10.862075,0.2115875,5.3111875,2.0331625,0.8393375,0.747625,0.4180375,0.0626,5.1620125,5.2189125,2.7291875,0.300325,13.9901,0.883675,0.4670625,1.918925,1.999725,1.8919125,2.5902625,0.3546125,1,28.1,31,37,18,182.559,95,63.5,116,74,76,51,96,62.5,2.884383673
"ANN0847","ANN_05","north american desert",-14,47,"1",22,3.512303884,0.54666844,2.5,3.455307339,12.04110263,1.874743659,6.133333333,0.818181818,6.198388494,5997.988,0.1554,133.5384,1.8464,1.695941072,0.8933,0.7563,0.3431,0.0792,114.3,121.158,78.74,0.3709,357.2788,0.8654,0.3512,1.5387,1.6605,1.6667,41.199,6.647,68.834,0.7107,2.436401582,4.546926788,1.869013027,25,3,2.545066905,6.422833679,2.455394853,0.979698738,110.4,20,0.234683118,0.455848462,0.30946842,23.94406387,1.697959575,10.63475,0.164775,4.874375,1.708125,0.862325,0.763825,0.411575,0.0556375,4.6884125,4.7651625,2.870725,0.2986875,13.317075,0.8878875,0.4978875,1.6603,1.7028125,1.6574375,2.7556125,0.351475,1,34.3,37,49,18,183.98,16,35,25,7,42,28,33.5,17.5,3.526946939
"ANN0848","ANN_05","north american desert",-14,53,"1",24,4.546557957,0.615972102,5.5,2.595694089,11.80363162,1.600084513,7.168181818,0.916666667,8.125305021,9793.4643,0.1921,176.6627,2.1401,1.859685671,0.8893,0.7787,0.3815,0.0977,153.416,157.48,94.996,0.4747,487.6324,0.8877,0.4097,1.6578,1.9484,1.9435,44.393,5.464,78.74,0.7452,2.5537836,3.861378246,1.523847633,22,4,2.415195085,7.408520237,2.274417875,0.945558979,157.7,21,0.193959055,0.488576534,0.31746441,21.77777252,1.846210472,7.5017125,0.193725,4.38895,1.9613625,0.8759625,0.775025,0.3972875,0.0616875,4.1936375,4.2386125,2.377275,0.2956625,11.5470375,0.8819625,0.456875,1.7895,1.9020625,1.8706875,2.218525,0.3361875,1,39.5,36,45,22,166.762,45.5,34.5,64,27,39,30,51.5,28.5,3.075281633
"ANN0850","ANN_05","north american desert",-14,47,"0",22,4.21931236,0.542713979,5.5,3.415249195,14.38745986,1.852207351,6.535294118,0.772727273,6.690591598,11994.6857,0.175,194.1306,1.6854,1.629624095,0.8964,0.7169,0.4531,0.1259,151.384,168.91,119.126,0.5761,555.243,0.9243,0.34,1.4179,1.7376,1.75,44.103,6.592,87.122,0.7639,2.667282965,5.116765111,1.93233358,21,3,2.817933688,7.768157829,3.332472352,1.182353354,111.1,14,0.229304137,0.458574463,0.3121214,22.06122071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,34.6,46,66,17,177.463,64,77.5,73,55,78,77,75.5,66,4.21077551
"ANN0881","ANN_09","north american desert",1270,51,"1",24,3.844038012,0.63792341,6.5,2.821176574,10.95155642,1.832695183,5.468421053,0.791666667,7.001478805,8687.5955,0.2059,165.2132,2.0718,1.791861348,0.8715,0.7162,0.4583,0.0964,137.668,154.178,92.202,0.4225,438.6073,0.8803,0.3598,1.6722,2,2.028,42.799,6.113,68.834,0.7855,2.954952389,NA,1.252513609,23.33333333,4,3.10586277,6.027035029,2.473084193,0.7965232,103.9,18,0.208507494,0.468830104,0.322662402,20.3886306,1.797038117,8.203775,0.1798875,4.4669875,1.826275,0.8635,0.7654125,0.4039625,0.0541625,4.2439375,4.27435,2.48575,0.2927625,11.9989875,0.8784875,0.48395,1.724025,1.806475,1.7165,2.35745,0.3528,1,25.7,30,33,19,173.212,58.5,42.5,63,54,45,40,54,47,2.721134694
"ANN0883","ANN_09","north american desert",1270,50,"1",24,3.573584145,0.56253513,6,3.03750968,10.84732673,1.706554899,5.186956522,0.958333333,6.363988322,6241.4714,0.2717,147.9171,2.5648,2.148895894,0.8772,0.6932,0.4544,0.1016,127,146.812,68.834,0.4596,378.4299,0.8658,0.3485,2.1328,2.381,2.381,40.995,6.442,53.34,0.7059,2.783886575,3.872937271,1.404105601,18.33333333,4,3.428753501,6.35689414,2.845237816,0.830746288,119.3,24,0.194332105,0.489380186,0.316287709,32.0733371,1.979828049,8.2625,0.2102375,4.6804125,2.01405,0.8626625,0.760075,0.405525,0.0587375,4.5164375,4.5481875,2.36405,0.2751125,12.2640875,0.871625,0.479775,1.9337375,2.0221,1.9194,2.250275,0.3558375,0,23.1,26,33,23,166.905,67,51,80,54,65,37,72.5,45.5,2.892832653
"ANN0885","ANN_09","north american desert",1270,47,"1",27,3.97976508,0.4572399,6,3.365847042,13.39776599,1.541666898,7.264705882,0.62962963,7.062049634,8518.112,0.267,177.4305,2.636,2.079003796,0.8848,0.7149,0.4299,0.1112,153.924,172.212,85.344,0.4347,474.2438,0.8784,0.3339,2.0179,2.4337,2.4444,43.122,6.106,63.246,0.7345,3.924271321,4.89760508,1.25128639,21,4,4.892482626,8.733448727,4.044366435,0.828403017,123.5,15,0.21746545,0.461337152,0.321197398,21.09487865,1.94938532,8.624875,0.2053125,4.77095,1.97635,0.8744,0.7709625,0.38605,0.0575375,4.63155,4.6606375,2.4474125,0.2581625,12.310425,0.872075,0.465475,1.9184875,1.98655,1.931,2.349475,0.3743375,2,23.6,26,32,17,186.471,43.5,47,39,48,52,42,45.5,45,3.619591837
"ANN0886","ANN_09","north american desert",1270,54,"1",28,3.57167762,0.521004729,7,3.344349098,11.94870768,1.742486521,5.023809524,0.75,6.084828965,9097.9173,0.1481,170.3807,2.0083,1.556357674,0.8721,0.7761,0.3976,0.1271,132.08,136.398,109.474,0.5161,533.9282,0.9123,0.3665,1.2459,1.5951,1.6,43.372,7.128,82.804,0.6704,3.079538779,4.38478013,1.431050699,20.33333333,4,4.441448464,6.854179966,3.066890693,0.695436313,105.5,19,0.230008499,0.459816659,0.310174842,20.63487707,1.797247011,6.0676625,0.1788875,3.851725,1.8606125,0.8595375,0.7242375,0.4191625,0.050975,3.6830125,3.7332875,2.143125,0.23015,10.3361375,0.8289625,0.4730125,1.7587125,1.8081125,1.6302,2.0597875,0.4012125,1,30.7,28,35,21,164.72,32.5,37.5,26,39,41,34,33.5,36.5,4.608244898
